,0,1,2,3,4,5,6,7,8,9,10,11
0,45,82,113,55,94,51,82,52,44,146,42,43,
1,48,78,73,112,103,112,77,111,87,114,79,102,
2,113,48,68,101,78,114,108,119,119,97,110,64,
3,128,43,109,110,73,109,118,119,77,113,101,82,
4,87,97,116,106,107,133,119,97,119,129,115,110,
5,112,77,117,113,111,117,118,119,119,111,108,84,
6,99,112,105,115,112,123,137,102,119,129,113,114,
7,102,117,112,114,133,136,137,139,137,100,43,114,
8,78,102,103,101,123,118,80,74,107,129,138,123,
9,97,78,115,131,81,135,107,102,107,96,138,68,
10,45,112,103,136,123,134,107,94,111,117,43,109,
11,114,102,115,135,145,72,107,101,73,96,117,142,
12,99,112,139,51,136,148,68,102,111,68,139,96,
13,99,137,116,148,66,137,115,111,105,142,141,137,
14,144,151,68,118,113,148,143,145,163,132,139,78,
15,102,150,144,172,137,152,116,68,140,104,116,143,
16,139,126,150,116,172,201,146,144,68,103,136,43,
