,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,98,72,57,51,50,43,40,40,69,50,151,83,69,45,57,94
1,98,98,98,98,146,151,151,151,69,69,69,69,72,72,72,72
2,98,98,98,98,167,151,151,146,151,151,151,151,98,98,98,98
3,98,98,98,71,151,151,151,151,173,173,167,167,173,173,174,167
4,173,167,100,173,173,167,173,173,167,167,173,173,151,173,151,151
5,173,167,174,167,173,173,173,167,173,173,173,167,173,173,173,167
6,173,167,173,167,173,173,173,167,173,173,173,173,173,103,173,173
7,170,170,170,170,173,167,173,166,173,173,173,173,173,173,173,173
8,166,163,167,167,173,173,167,167,173,45,173,173,173,167,173,173
9,167,167,167,167,173,167,167,165,151,166,166,163,173,173,173,177
10,173,173,173,173,167,167,173,167,167,167,167,167,103,173,173,174
11,45,173,172,167,167,167,167,173,173,173,173,173,167,99,167,167
12,99,99,99,99,173,173,173,173,173,173,167,173,167,167,167,167
13,173,173,173,173,106,99,99,99,167,173,167,167,173,177,167,167
14,173,173,173,177,45,173,100,173,177,177,177,174,167,167,167,167
15,167,167,167,167,145,177,117,130,177,177,87,177,173,173,173,173
16,167,167,167,145,117,117,117,117,167,171,167,151,173,173,173,173
17,171,171,171,171,117,117,117,117,171,168,171,171,167,167,165,167
18,167,167,167,164,168,171,171,178,171,171,171,171,172,178,167,167
19,178,169,178,175,168,168,171,171,107,171,171,107,152,167,167,167
20,112,178,178,178,171,171,168,171,168,171,171,114,152,152,152,152
21,152,152,152,173,168,153,170,176,171,171,171,167,178,178,178,178
22,152,152,152,152,168,168,168,168,178,178,178,178,168,170,171,170
23,168,168,168,168,176,168,168,168,168,168,168,174,173,170,170,170
24,168,168,168,168,133,84,174,195,168,168,168,168,168,168,168,143
25,168,168,168,168,168,168,176,168,133,133,133,133,177,174,195,195
26,110,195,111,195,173,168,168,168,176,168,168,168,133,133,133,133
27,195,195,195,195,168,168,168,168,195,84,179,195,176,176,176,176
28,195,193,195,194,179,179,179,179,179,179,179,179,174,195,193,195
29,179,179,179,176,179,179,179,179,179,179,179,179,195,195,195,195
30,179,102,179,111,179,179,176,179,179,179,179,179,179,179,179,179
31,179,179,114,179,192,179,179,179,179,179,106,179,153,179,,
