,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,98,72,57,51,50,43,40,40,69,50,151,83,69,45,57,94
1,86,87,59,67,116,152,56,142,44,80,67,75,69,78,50,80
2,80,87,74,44,81,83,47,40,81,76,67,51,78,69,80,50
3,58,99,45,67,43,87,43,75,81,78,82,67,44,74,44,74
4,76,81,81,52,73,43,43,43,57,43,43,43,100,81,79,82
5,80,71,80,76,43,55,43,57,82,76,81,78,78,76,103,78
6,57,43,43,82,80,80,80,128,103,80,80,112,68,55,43,57
7,55,55,80,129,57,105,43,54,112,80,79,117,115,79,80,131
8,97,112,54,111,133,114,54,133,108,105,54,103,110,95,56,109
9,108,103,111,73,103,56,102,106,103,43,134,113,103,40,116,112
10,108,104,103,115,114,103,147,112,97,79,103,113,113,137,115,113
11,80,46,112,109,128,47,85,75,130,113,158,111,103,113,149,70
12,100,103,115,130,107,103,113,103,107,143,116,143,107,103,146,113
13,102,102,107,103,109,113,131,107,149,46,103,143,103,113,98,103
14,103,149,114,109,117,103,114,100,137,114,114,113,103,110,112,112
15,142,110,112,113,103,97,113,110,118,103,128,130,113,103,99,114
16,80,143,137,83,99,102,47,83,131,86,130,91,131,75,114,112
17,131,86,136,168,131,131,131,120,131,130,131,89,113,99,128,72
18,52,107,104,136,130,136,96,137,103,107,52,103,99,85,96,105
19,134,104,104,78,134,129,105,137,134,168,105,85,133,103,109,85
20,127,106,85,162,67,85,85,112,69,58,78,76,107,146,81,143
21,106,83,85,107,69,98,116,105,105,81,98,80,85,81,97,105
22,113,74,74,136,132,119,115,130,129,123,124,169,81,117,129,85
23,118,105,98,129,74,86,128,74,46,108,63,47,107,105,115,44
24,109,117,99,74,47,100,85,72,47,84,104,47,74,98,138,75
25,102,80,97,75,118,77,130,97,102,77,84,101,100,76,52,103
26,52,52,52,47,96,105,101,101,100,102,139,144,114,144,103,122
27,142,142,108,135,168,142,106,132,43,144,119,85,56,52,52,52
28,52,104,52,52,100,107,100,100,99,115,136,133,52,52,52,52
29,52,52,52,52,47,52,52,52,56,52,52,52,96,85,108,97
30,101,108,98,97,97,104,116,103,52,52,52,52,103,111,97,120
31,52,52,52,52,100,97,108,103,99,108,131,107,52,52,52,52
32,52,52,52,52,52,103,52,52,100,98,100,102,52,52,52,52
33,132,99,131,97,52,52,52,53,101,52,52,52,112,40,52,52
34,52,40,52,132,52,40,52,133,52,40,101,117,100,44,101,134
35,99,43,108,108,52,40,108,113,52,40,55,108,52,40,132,104
36,108,52,107,121,107,55,115,120,121,,,,,,,
