,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,98,72,57,51,50,43,40,40,69,50,151,83,69,45,57,94,
1,98,84,46,67,100,151,100,101,101,114,69,75,69,73,46,72,
2,151,100,100,152,73,46,69,73,84,46,98,84,73,46,56,73,
3,151,152,100,100,152,152,100,99,73,73,69,69,73,73,69,76,
4,73,73,69,73,168,152,100,140,152,152,100,152,152,152,100,152,
5,152,100,149,100,152,100,152,99,73,69,73,69,152,100,152,100,
6,69,72,69,75,100,152,100,100,100,152,100,100,99,152,99,99,
7,99,99,99,99,100,100,100,100,69,69,40,69,100,100,100,100,
8,99,99,99,99,100,100,100,54,100,100,100,100,99,99,99,99,
9,100,100,100,86,100,100,100,100,99,100,100,100,100,100,100,100,
10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
12,129,100,102,100,100,100,95,130,100,100,100,100,100,100,89,100,
13,89,131,89,89,100,130,100,100,100,129,102,100,95,129,96,95,
14,100,100,100,129,100,100,100,129,100,100,100,119,96,96,96,129,
15,96,96,96,96,100,100,54,100,100,100,100,95,100,100,100,80,
16,100,100,100,99,100,100,100,100,100,100,100,101,96,96,99,96,
17,96,96,96,96,100,100,100,100,96,73,96,96,96,96,96,96,
18,96,96,96,96,100,100,100,100,129,96,102,96,96,96,96,96,
19,100,100,100,100,96,54,97,96,96,96,96,96,100,100,96,100,
20,100,100,100,100,96,96,96,96,96,96,102,96,97,97,97,97,
21,102,102,102,102,129,97,97,97,96,96,96,96,96,96,96,96,
22,102,102,102,102,96,101,96,96,96,96,96,96,104,97,97,97,
23,97,97,97,97,102,102,102,102,95,97,97,97,102,102,103,102,
24,102,102,102,102,95,95,95,95,97,97,97,97,102,102,102,102,
25,95,95,78,95,102,102,102,102,95,95,95,95,95,95,95,95,
26,103,102,102,102,95,95,95,95,95,95,95,95,95,95,95,95,
27,95,95,95,95,102,102,102,102,102,95,95,101,107,95,95,95,
28,102,102,96,102,95,95,95,95,95,95,95,102,95,95,95,95,
29,102,104,102,102,95,95,95,95,95,137,74,95,102,102,102,102,
30,95,95,95,95,96,95,95,95,102,102,102,102,102,102,102,102,
31,95,95,95,95,95,95,95,95,101,95,95,95,102,102,102,102,
32,102,102,102,95,95,95,95,95,102,102,102,102,95,95,95,95,
33,95,95,95,95,102,102,102,103,102,102,102,102,95,95,74,95,
34,95,95,95,95,102,102,102,102,
