,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,98,72,57,51,50,43,40,40,69,50,151,83,69,45,57,94
1,98,94,84,78,99,94,101,96,100,114,151,73,99,111,109,97
2,101,99,94,101,151,100,114,153,151,100,114,151,148,100,114,151
3,151,151,152,151,151,151,151,151,153,153,153,153,151,152,151,151
4,153,137,153,153,153,142,153,153,152,152,109,152,153,153,153,147
5,150,153,153,153,103,153,153,153,144,153,153,153,153,153,153,53
6,153,153,153,153,103,153,153,153,153,153,153,153,168,153,153,153
7,153,45,166,153,153,152,168,153,153,153,168,153,139,153,168,153
8,168,168,153,168,149,168,153,149,168,168,153,153,168,114,168,149
9,149,120,167,168,168,149,145,168,168,168,168,168,168,168,170,168
10,168,168,168,168,168,168,168,168,168,166,168,168,170,152,170,170
11,151,141,170,169,145,170,170,171,170,170,170,170,168,168,168,168
12,170,170,100,170,170,170,171,170,100,170,171,170,170,167,172,150
13,171,170,171,171,150,170,100,171,171,170,171,171,172,170,168,172
14,171,171,171,171,172,172,172,172,172,152,172,172,171,171,45,171
15,172,172,172,141,172,172,145,172,172,172,171,172,172,172,141,172
16,148,168,172,172,172,172,172,103,172,172,172,172,53,172,172,45
17,172,172,172,169,172,172,172,172,172,172,172,172,172,171,172,172
18,172,172,172,172,172,172,172,172,172,172,172,172,172,172,171,172
19,172,172,172,171,172,54,172,142,172,172,172,172,172,172,172,172
20,171,172,172,137,172,172,172,170,87,172,172,172,172,172,172,172
21,167,152,172,172,140,172,172,172,167,172,54,172,172,172,172,172
22,167,172,85,172,172,172,172,167,172,172,172,172,172,167,172,172
23,172,168,172,172,141,172,172,172,148,172,172,172,172,150,143,172
24,172,172,172,172,150,172,172,172,172,168,168,172,172,45,172,172
25,172,172,172,173,172,172,172,172,172,172,172,171,172,172,172,172
26,172,172,172,172,173,168,173,170,133,172,150,172,172,135,172,172
27,172,172,172,172,172,172,168,172,173,173,104,170,173,173,173,172
28,173,173,173,118,173,174,173,173,173,173,173,173,173,173,173,150
29,148,173,148,173,173,173,172,45,168,174,174,168,173,173,173,173
30,173,173,173,173,174,111,174,168,174,174,174,168,172,173,173,173
31,174,175,174,174,174,174,174,174,174,167,174,174,169,173,170,173
32,174,175,169,99,,,,,,,,,,,,
